ID_Caja;Codigo_Poliza;ID_Cliente;Numero_Recibo;Monto_Pago
57;IN-GL-000231;3;000000348;26.25
57;IN-GL-000232;3;000000349;26.25
57;IN-GL-000233;3;000000350;26.25
57;IN-IL-003086;3;000000311;19.69
57;IN-IL-003088;3;000000312;1.31
57;IN-IL-003090;3;000000314;4
57;IN-IL-003092;3;000000315;1.31
57;IN-IL-003093;3;000000319;1.31
57;IN-IL-003094;3;000000323;1.31
57;IN-IL-003095;3;000000324;1.31
57;IN-IL-003097;3;000000325;1.31
57;IN-IL-003098;3;000000326;1.31
57;IN-IL-003101;3;000000330;1.31
57;IN-IL-003089;3;000000313;10
57;IN-GL-000088;31;000000054;2.41
57;IN-GL-000096;31;000000068;4.01
57;IN-GL-000101;93;000000131;6.69
57;IN-IL-003047;29;000000095;6.69
57;IN-IL-003053;12;000000108;6.69
57;IN-GL-000115;31;000000112;13.13
57;IN-IL-003061;31;000000113;13.38
57;IN-IL-003063;29;000000122;1.34
57;IN-IL-003064;12;000000123;4.41
57;IN-IL-003065;12;000000124;107
57;IN-IL-003066;12;000000125;14.27
57;IN-IL-003067;12;000000127;160.5
57;IN-IL-003068;12;000000128;20.06
57;IN-IL-003069;12;000000129;151.58
57;IN-GL-000097;31;000000069;5.42
57;RT-EE-000001;29;000000138;0.83
57;RT-RM-000001;29;000000140;0.83
57;RT-RM-000005;29;000000145;20
57;IN-GL-000143;3;000000146;26.25
57;IN-GL-000144;31;000000147;35
57;IN-GL-000145;31;000000148;43.63
57;IN-MUL-CONT-002059;2;000000170;7.5
57;IN-GL-000162;1;000000178;13.13
57;IN-GL-000170;31;000000186;35
57;IN-GL-000112;12;000000100;2.94
57;IN-IL-003049;29;000000103;6.69
57;IN-GL-000172;3;000000189;262.5
57;IN-GL-000179;3;000000190;19.81
57;IN-IL-003791;198;000000759;0.66
57;IN-IL-004035;192;000000942;0.66
57;IN-IL-004036;193;000000942;0.66
57;IN-IL-004037;194;000000943;0.66
57;IN-IL-004038;195;000000944;0.66
57;IN-IL-004039;196;000000945;0.66
57;IN-IL-004040;197;000000946;0.66
57;IN-IL-004041;198;000000946;0.66
57;IN-IL-004042;199;000000947;0.66
57;IN-IL-004043;200;000000948;0.66
57;IN-IL-004044;201;000000948;0.66
57;IN-IL-004045;202;000000949;0.66
57;IN-IL-004046;203;000000950;0.66
57;IN-IL-004047;204;000000951;0.66
57;IN-IL-004048;205;000000951;0.66
57;IN-IL-004049;206;000000952;0.66
57;IN-IL-004050;207;000000953;0.66
57;IN-IL-004051;208;000000954;0.66
57;IN-IL-004052;209;000000954;0.66
57;IN-IL-004053;210;000000955;0.66
57;IN-IL-004054;211;000000956;0.66
57;IN-IL-004055;212;000000957;0.66
57;IN-IL-004056;213;000000958;0.66
57;IN-IL-004057;214;000000958;0.66
57;IN-IL-004058;215;000000959;0.66
57;IN-IL-004059;216;000000960;0.66
57;IN-IL-004060;217;000000961;0.66
57;IN-IL-004061;218;000000961;0.66
57;IN-IL-004062;219;000000962;0.66
57;IN-IL-004063;220;000000963;0.66
57;IN-IL-004064;221;000000964;0.66
57;IN-IL-004065;222;000000965;0.66
57;IN-IL-004066;223;000000966;0.66
57;IN-IL-004067;224;000000967;0.66
57;IN-IL-004068;225;000000968;0.66
57;IN-IL-004069;226;000000968;0.66
57;IN-IL-004070;227;000000969;0.66
57;IN-IL-004071;228;000000970;0.66
57;IN-IL-004072;229;000000971;0.66
57;IN-IL-004073;230;000000971;0.66
